City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Khasan,RU,42.4308,130.6434,47.75,79,100,12.24,light rain
158,Torbay,CA,47.6666,-52.7314,40.75,94,100,5.01,overcast clouds
159,Gazli,UZ,40.1333,63.45,77.11,19,3,7.72,clear sky
160,Nanortalik,GL,60.1432,-45.2371,37.83,87,95,4.5,overcast clouds
161,Severo-Kurilsk,RU,50.6789,156.125,36.32,85,89,15.79,overcast clouds
162,Nizhniy Tsasuchey,RU,50.5167,115.1333,49.95,19,72,11.54,broken clouds
163,Ugoofaaru,MV,5.6667,73.0,86.4,71,95,12.55,overcast clouds
164,Kysyl-Syr,RU,63.8986,122.7617,43.09,63,5,10.87,clear sky
165,Songjianghe,CN,42.1859,127.479,48.67,36,100,14.94,overcast clouds
166,Georgetown,MY,5.4112,100.3354,87.73,74,20,0.0,few clouds
167,Cockburn Town,TC,21.4612,-71.1419,76.57,72,100,20.94,overcast clouds
168,Coihaique,CL,-45.5752,-72.0662,39.15,87,88,3.44,light rain
169,Limon,CR,10.0,-83.0333,77.38,85,95,1.74,overcast clouds
170,Faanui,PF,-16.4833,-151.75,81.05,72,15,16.58,light rain
171,Orumiyeh,IR,37.5527,45.0761,47.75,93,40,6.91,scattered clouds
172,Marsabit,KE,2.3284,37.9899,64.89,84,12,11.61,light rain
173,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.08,92,100,1.5,overcast clouds
174,Ancud,CL,-41.8697,-73.8203,42.82,82,94,2.42,overcast clouds
175,Lima,PE,-12.0432,-77.0282,69.91,73,0,13.8,clear sky
176,Esperance,AU,-33.8667,121.9,64.06,64,29,8.77,scattered clouds
177,Codrington,AU,-38.2667,141.9667,63.05,46,96,19.46,overcast clouds
178,Santa Maria,BR,-29.6842,-53.8069,48.4,84,0,6.06,clear sky
179,Analipsis,GR,35.3167,25.5667,66.11,87,59,14.58,broken clouds
180,Phulabani,IN,20.4667,84.2333,100.69,15,22,6.13,few clouds
181,Thompson,CA,55.7435,-97.8558,39.36,92,100,3.0,overcast clouds
182,Ilulissat,GL,69.2167,-51.1,19.42,73,100,23.02,overcast clouds
183,Navirai,BR,-23.065,-54.1906,70.56,88,59,4.54,broken clouds
184,Hovd,MN,48.0056,91.6419,54.43,18,0,3.71,clear sky
185,Port Moresby,PG,-9.4431,147.1797,85.1,66,100,10.74,overcast clouds
186,Rapid Valley,US,44.0625,-103.1463,41.76,90,100,32.21,moderate rain
187,Pangai,TO,-19.8,-174.35,81.07,81,100,18.1,light rain
188,Alcains,PT,39.9164,-7.4566,53.53,66,3,3.31,clear sky
189,Bahia Blanca,AR,-38.7196,-62.2724,45.46,41,49,7.67,scattered clouds
190,Bani Walid,LY,31.7566,13.9942,55.98,95,56,7.65,broken clouds
191,Kavieng,PG,-2.5744,150.7967,83.97,70,88,3.33,light rain
192,Malinyi,TZ,-8.9333,36.1333,65.62,93,39,2.26,scattered clouds
193,Baghdad,IQ,33.3406,44.4009,69.71,64,0,5.75,clear sky
194,Buraydah,SA,26.326,43.975,73.36,39,0,5.55,clear sky
195,Portland,US,45.5234,-122.6762,54.75,85,100,3.44,moderate rain
196,Shelabolikha,RU,53.4131,82.6167,64.65,35,100,11.39,overcast clouds
197,Loja,EC,-3.9931,-79.2042,56.46,97,99,4.7,light rain
198,Goundam,ML,16.4145,-3.6708,82.06,14,98,8.97,overcast clouds
199,Ostrovnoy,RU,68.0531,39.5131,21.65,85,100,16.67,overcast clouds
200,Cortez,US,37.3489,-108.5859,49.03,20,0,0.0,clear sky
201,Oussouye,SN,12.485,-16.5469,71.49,74,56,12.03,broken clouds
202,Namatanai,PG,-3.6667,152.4333,85.46,66,51,0.92,broken clouds
203,Moron,AR,-34.6534,-58.6198,51.55,59,0,3.56,clear sky
204,Garowe,SO,8.4054,48.4845,76.24,82,56,6.96,broken clouds
205,Malanville,BJ,11.8685,3.3899,87.21,35,93,8.05,overcast clouds
206,Constitucion,CL,-35.3333,-72.4167,52.25,64,24,7.0,few clouds
207,Panama City,PA,8.9936,-79.5197,80.44,88,20,8.05,few clouds
208,Akdepe,TM,42.0551,59.3788,71.51,23,100,8.37,overcast clouds
209,Shagonar,RU,51.5333,92.8,54.3,38,79,2.01,broken clouds
210,Chuy,UY,-33.6971,-53.4616,50.22,76,14,2.95,few clouds
211,Kerman,IR,30.2832,57.0788,71.11,27,96,4.41,overcast clouds
212,Aqtobe,KZ,50.2797,57.2072,46.49,66,0,4.47,clear sky
213,Inirida,CO,3.8653,-67.9239,73.26,99,100,3.51,overcast clouds
214,The Valley,AI,18.217,-63.0578,77.83,83,100,17.81,overcast clouds
215,Leningradskiy,RU,69.3833,178.4167,20.98,87,98,15.82,overcast clouds
216,Asfi,MA,32.2994,-9.2372,61.5,72,100,4.05,overcast clouds
217,Ambanja,MG,-13.6833,48.45,73.29,92,77,3.31,broken clouds
218,Makakilo City,US,21.3469,-158.0858,80.92,60,75,14.97,broken clouds
219,Port Lincoln,AU,-34.7333,135.8667,65.37,52,34,14.52,scattered clouds
220,Shanghai,CN,31.2222,121.4581,66.92,58,75,8.95,broken clouds
221,Katsuura,JP,35.1333,140.3,55.4,61,24,20.56,few clouds
222,Zhigansk,RU,66.7697,123.3711,32.45,93,29,24.07,scattered clouds
223,Guerrero Negro,MX,27.9769,-114.0611,59.34,80,2,17.74,clear sky
224,Provideniya,RU,64.3833,-173.3,34.03,89,99,12.93,overcast clouds
225,Casa Nova,BR,-9.4167,-41.1333,75.67,62,64,15.01,broken clouds
226,Sitka,US,57.0531,-135.33,49.89,62,75,4.61,broken clouds
227,Sirnak,TR,37.5228,42.4594,52.2,72,11,3.85,few clouds
228,Riverton,US,40.5219,-111.9391,52.84,32,0,5.99,clear sky
229,Vila Velha,BR,-20.3297,-40.2925,72.95,93,0,1.14,clear sky
230,Salta,AR,-24.7859,-65.4117,56.57,83,100,3.0,overcast clouds
231,Araouane,ML,18.9048,-3.5265,76.96,8,0,6.38,clear sky
232,Saint-Louis,SN,16.3333,-15.0,76.12,31,0,12.24,clear sky
233,Upernavik,GL,72.7868,-56.1549,12.54,85,100,24.09,overcast clouds
234,Tombouctou,ML,20.0,-3.0,76.3,8,0,8.3,clear sky
235,Nemuro,JP,43.3236,145.575,41.5,60,33,14.97,scattered clouds
236,Haines Junction,CA,60.7522,-137.5108,42.51,72,34,4.83,scattered clouds
237,Quatre Cocos,MU,-20.2078,57.7625,74.08,73,7,8.86,clear sky
238,La Rioja,ES,42.25,-2.5,44.38,90,100,3.31,overcast clouds
239,Shache,CN,38.4167,77.2406,65.17,20,36,4.41,scattered clouds
240,Martapura,ID,-3.4167,114.85,86.09,74,0,5.75,clear sky
241,Mandalgovi,MN,45.7625,106.2708,48.85,22,12,16.22,few clouds
242,Mayumba,GA,-3.432,10.6554,75.56,91,100,12.73,overcast clouds
243,Puerto Del Rosario,ES,28.5004,-13.8627,64.15,68,0,11.5,clear sky
244,Bulgan,MN,48.8125,103.5347,54.45,27,24,8.68,few clouds
245,Skuodas,LT,56.2667,21.5333,39.06,71,17,5.61,moderate rain
246,Bandar,ID,2.05,99.75,88.16,60,64,1.92,broken clouds
247,Itaqui,BR,-29.1253,-56.5531,54.0,68,65,12.01,broken clouds
248,Cassilandia,BR,-19.1133,-51.7342,70.2,52,4,3.67,clear sky
249,Waipawa,NZ,-41.4122,175.5153,60.73,54,0,6.49,clear sky
250,Ukiah,US,39.1502,-123.2078,60.69,39,0,9.22,clear sky
251,Port Hedland,AU,-20.3167,118.5667,78.85,53,75,16.11,broken clouds
252,Kruisfontein,ZA,-34.0033,24.7314,56.88,80,39,14.07,scattered clouds
253,Saint George,US,37.1041,-113.5841,71.44,16,0,9.22,clear sky
254,Qaqortoq,GL,60.7167,-46.0333,36.77,89,100,2.51,overcast clouds
255,Qaanaaq,GL,77.484,-69.3632,7.45,69,41,8.08,scattered clouds
256,Avera,US,33.194,-82.5271,66.25,59,48,8.95,scattered clouds
257,Baykit,RU,61.67,96.37,44.37,78,60,11.95,broken clouds
258,Talnakh,RU,69.4865,88.3972,16.21,81,75,7.0,broken clouds
259,Norman Wells,CA,65.282,-126.8329,40.87,78,70,6.8,broken clouds
260,Sesheke,ZM,-17.4759,24.2968,56.35,70,0,3.67,clear sky
261,Havelock,US,34.8791,-76.9013,64.35,75,77,3.29,broken clouds
262,Labrea,BR,-7.2586,-64.7981,73.36,96,100,1.79,overcast clouds
263,Tairua,NZ,-37.0167,175.85,61.86,79,81,11.01,broken clouds
264,Antofagasta,CL,-23.65,-70.4,60.08,82,100,5.48,overcast clouds
265,Matay,EG,28.419,30.7792,79.66,11,68,8.55,broken clouds
266,Thinadhoo,MV,0.5333,72.9333,85.48,66,98,10.74,overcast clouds
267,Berbera,SO,10.4396,45.0143,83.05,85,20,2.28,light rain
268,Roald,NO,62.5833,6.1333,42.75,87,40,6.91,scattered clouds
269,Sulangan,PH,11.1373,123.7228,83.12,73,23,7.45,few clouds
270,Guiratinga,BR,-16.3494,-53.7583,70.29,60,0,2.98,clear sky
271,Senneterre,CA,48.3835,-77.2328,28.33,93,6,4.45,clear sky
272,Santa Clara,CU,22.4,-79.9667,69.46,78,0,4.61,clear sky
273,Port Blair,IN,11.6667,92.75,87.84,70,40,3.44,haze
274,Pozo Colorado,PY,-23.4923,-58.7972,65.03,96,88,5.14,overcast clouds
275,Puerto Ayacucho,VE,5.6639,-67.6236,76.03,92,100,6.55,overcast clouds
276,Tuatapere,NZ,-46.1333,167.6833,61.2,75,100,6.58,light rain
277,Awbari,LY,26.5921,12.7805,71.85,22,0,11.45,clear sky
278,Necochea,AR,-38.5473,-58.7368,44.91,61,33,6.82,scattered clouds
279,Bosaso,SO,11.2842,49.1816,84.24,68,90,4.29,overcast clouds
280,Tura,IN,25.5198,90.2201,78.44,69,98,3.62,overcast clouds
281,Warrington,GB,53.3925,-2.5802,43.79,81,14,4.61,few clouds
282,Lima Duarte,BR,-21.8425,-43.7931,60.84,99,27,2.89,scattered clouds
283,Kutina,HR,45.475,16.7819,50.81,67,99,3.71,overcast clouds
284,Bonaventure,CA,48.0457,-65.4926,34.38,92,100,10.6,overcast clouds
285,Airai,TL,-8.9266,125.4092,76.69,45,76,3.69,broken clouds
286,Ketchikan,US,55.3422,-131.6461,50.47,53,40,3.44,scattered clouds
287,Bukama,CD,-9.2,25.85,66.0,94,44,1.36,scattered clouds
288,Kaeo,NZ,-35.1,173.7833,62.33,95,56,11.83,broken clouds
289,Tulum,MX,20.2167,-87.4667,74.28,90,15,7.58,few clouds
290,Carnarvon,AU,-24.8667,113.6333,84.27,28,0,16.11,clear sky
291,Oksfjord,NO,70.2396,22.3479,28.0,81,100,18.01,light snow
292,Te Anau,NZ,-45.4167,167.7167,58.71,74,100,4.97,overcast clouds
293,Saint-Georges,GD,12.0564,-61.7485,79.72,86,51,13.98,broken clouds
294,Port Hardy,CA,50.6996,-127.4199,50.18,71,100,17.27,overcast clouds
295,College,US,64.8569,-147.8028,58.95,29,20,0.0,few clouds
296,Cervo,ES,43.6702,-7.4101,53.24,89,96,6.35,overcast clouds
297,Fairbanks,US,64.8378,-147.7164,58.96,30,0,0.0,clear sky
298,Takoradi,GH,4.8845,-1.7554,79.27,86,81,5.41,broken clouds
299,Tabuk,PH,17.4189,121.4443,88.81,54,100,6.4,overcast clouds
300,Saint-Pierre,RE,-21.3393,55.4781,74.88,72,0,6.91,clear sky
301,Bow Island,CA,49.8668,-111.3684,50.18,46,100,3.44,overcast clouds
302,Rizhao,CN,35.4275,119.4553,63.32,51,100,11.92,overcast clouds
303,Ribeira Grande,PT,38.5167,-28.7,61.9,87,9,16.62,clear sky
304,Ajdabiya,LY,30.7554,20.2263,61.05,93,4,5.06,clear sky
305,Uglovskoye,RU,51.3557,80.1942,63.55,28,100,14.56,overcast clouds
306,Houston,US,29.7633,-95.3633,76.33,82,75,14.97,broken clouds
307,West Lafayette,US,40.4259,-86.9081,62.58,55,40,14.97,scattered clouds
308,Belaya Gora,RU,68.5333,146.4167,24.94,80,60,6.89,broken clouds
309,Trinidad,BO,-14.8333,-64.9,70.99,82,76,6.78,broken clouds
310,Xining,CN,36.6167,101.7667,36.43,79,100,6.6,overcast clouds
311,Inuvik,CA,68.3499,-133.7218,41.86,52,0,6.91,clear sky
312,Mount Gambier,AU,-37.8333,140.7667,60.71,59,75,18.41,light rain
313,Krasnyy Yar,RU,46.5331,48.3456,49.96,87,100,15.57,light rain
314,Sao Filipe,CV,14.8961,-24.4956,71.37,68,11,8.97,few clouds
