City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
59,Hithadhoo,MV,84.85,broken clouds,-0.6,73.0833,Scoop Guest House
60,San Patricio,US,77.18,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
62,Biu,NG,77.13,overcast clouds,10.6129,12.1946,Emir's Palace
63,Ormond Beach,US,73.02,broken clouds,29.2858,-81.0559,Makai Beach Lodge
64,Port Alfred,ZA,57.18,scattered clouds,-33.5906,26.891,The Halyards Hotel
65,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
66,New Norfolk,AU,60.3,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
67,Luchegorsk,RU,58.05,overcast clouds,46.4764,134.2569,Mirazh
69,Korla,CN,60.19,clear sky,41.7597,86.1469,Gulisitan Hotel
71,Mahebourg,MU,73.26,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
73,Cidreira,BR,60.21,clear sky,-30.1811,-50.2056,Hotel Castelo
75,Dingle,PH,86.94,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
77,Kenai,US,51.03,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
79,Hobart,AU,60.66,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
80,Ferrol,ES,54.68,broken clouds,43.4832,-8.2369,Hotel Spa Sercotel Odeón
81,Chegdomyn,RU,50.52,overcast clouds,51.1167,133.0167,Gostinitsa Bureya
82,Carlyle,US,65.12,overcast clouds,38.6103,-89.3726,Mariner's Village at Carlyle Lake
84,Kaitangata,NZ,59.76,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
85,Alofi,NU,80.74,light rain,-19.0595,-169.9187,Taloa Heights
88,Mosquera,CO,51.89,few clouds,4.7059,-74.2302,Hotel SJ
89,Victoria,HK,82.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
90,East London,ZA,62.64,clear sky,-33.0153,27.9116,Tu Casa
91,Matara,LK,85.33,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
93,Mekhe,SN,68.83,clear sky,15.1097,-16.6218,Ma maison
